Empresa;CNPJ;UF;Situacao;Monitorado
ABASTECEDORA DE COMBUSTIVEIS TADEU LTDA;42.715.155/0001-54;RS;Ativa;Sim
ABASTECEDORA DE COMBUSTIVEIS TADEU LTDA;42.715.155/0001-54;RS;Ativa;Sim
ABASTECEDORA MANIA LTDA;05.282.433/0001-09;RS;Ativa;Sim
ABASTECEDORA MINNEAPOLIS LTDA;05.843.450/0001-60;RS;Ativa;Sim
ABASTECEDORA MINNEAPOLIS LTDA;05.843.450/0001-60;RS;Ativa;Sim
ABASTECEDORA MONACO LTDA;02.461.955/0001-71;RS;Ativa;Sim
ABATEDORA AVICOLA SANTA VITORIA LTDA;10.818.793/0001-04;GO;Ativa;Sim
ABATEDOURO BEIRA RIO LTDA;65.541.211/0001-87;SP;Ativa;Sim
ABATEDOURO SOLON LTDA;03.707.118/0001-42;PA;Ativa;Sim
ABATEX INDUSTRIA E COMERCIO LTDA;67.264.317/0001-06;SP;Ativa;Sim
ABB ELETRIFICACAO LTDA;33.449.988/0001-20;SP;Ativa;Sim
ABB MED COMERCIO DE PRODUTOS CIRURGICOS LTDA.;05.830.233/0001-35;PR;Inativa;Sim
ABBOTT DIAGNOSTICOS RAPIDOS S.A.;50.248.780/0001-61;SP;Ativa;Sim
ABBOTT LABORATORIOS DO BRASIL LTDA;56.998.701/0001-16;SP;Ativa;Sim
ABBVIE FARMACEUTICA LTDA.;15.800.545/0001-50;SP;Ativa;Sim
ABC AGROPECUARIA BRASIL NORTE S A PRODUCAO E EXPORTACAO;20.722.575/0001-25;PA;Ativa;Sim
ABC DATASAUDE SERVICOS FARAMACEUTICOS LTDA;01.178.574/0001-17;DF;Ativa;Sim
ABC DISTRIBUICAO DE PETROLEO LTDA;13.117.591/0001-23;MG;Ativa;Sim
ABC TECHNOLOGIES DO BRASIL LTDA.;02.679.320/0001-45;SP;Ativa;Sim
ABC TECHNOLOGY DESENVOLVIMENTO E SOLUCOES EMPRESARIAIS S/A;10.289.511/0001-29;SP;Ativa;Sim
ABC TORIBA VEICULOS LTDA;17.642.753/0001-01;SP;Ativa;Sim
ABC71 SOLUCOES EM INFORMATICA S.A.;63.027.692/0001-81;SP;Ativa;Sim
ABCOL BRASIL COMPOSITOS LTDA;11.568.792/0001-11;SC;Ativa;Sim
ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA;61.478.897/0001-58;SP;Ativa;Sim
ABELV ENGENHARIA LTDA;08.260.577/0001-44;SP;Ativa;Sim
ABENGOA BIOENERGIA SANTA FE LTDA;03.758.995/0007-38;SP;Ativa;Sim
ABIIS ALIANÇA BRASILEIRA DA IND. INOVADORA EM SAUDE;14.660.017/0001-80;DF;Ativa;Sim
ABILE SAÚDE - LTDA;17.715.435/0001-15;RN;Ativa;Sim
ABILITY TECNOLOGIA E SERVICOS S/A;06.127.582/0001-58;SP;Ativa;Sim
ABIMEX IMPORTACAO E EXPORTACAO S/A;07.121.351/0001-08;SC;Ativa;Sim
ABIOCON COMERCIAL LTDA;10.734.999/0001-56;BA;Ativa;Sim
ABIX TECNOLOGIA LTDA;06.113.322/0001-23;PR;Ativa;Sim
ABLACOR COMERCIO E REPRESENTACOES LTDA.;05.869.448/0001-60;SP;Ativa;Sim
ABOLICAO CAMINHOES E ONIBUS LTDA;31.306.830/0001-75;RJ;Ativa;Sim
ABOLICAO COMERCIO DE MOTOS LTDA;19.231.827/0001-34;RJ;Ativa;Sim
ABOTEC ASSOCIACAO BRASILEIRA DE ORTOPEDIA TECNICA;59.936.492/0001-74;SP;Ativa;Sim
ABRANCHES E MORAIS LTDA;22.584.866/0001-20;MG;Ativa;Sim
ABRANGE MERCANTIL FARMACEUTICA LTDA;04.230.516/0001-83;SP;Ativa;Sim
ABRAO DESPACHOS INTERNACIONAIS LTDA;90.982.026/0001-75;RS;Ativa;Sim
ABRASIVOS DBT LTDA;02.399.258/0001-38;RS;Ativa;Sim
ABRDN BRASIL INVESTIMENTOS LTDA.;11.074.363/0001-98;SP;Ativa;Sim
ABSG SERVICOS LTDA;18.622.029/0001-70;MG;Ativa;Sim
ABSOLUTE GESTAO DE INVESTIMENTOS LTDA.;17.285.755/0001-82;SP;Ativa;Sim
ABSOLUTO PARTNERS GESTAO DE RECURSOS LTDA;32.541.657/0001-52;RJ;Ativa;Sim
ABV COMERCIO DE ALIMENTOS LTDA;04.757.459/0001-95;MS;Ativa;Sim
AC COELHO MATERIAIS PARA CONSTRUCAO LTDA;37.083.474/0001-54;DF;Ativa;Sim
ACA INDUSTRIA, COMERCIO E CONSTRUCAO LTDA;44.338.978/0001-33;SP;Ativa;Sim
ACABAMENTOS BEL LAR LTDA;17.311.465/0001-66;MG;Ativa;Sim
ACADEMIA MELIES DE ENSINO LTDA;13.823.213/0001-65;SP;Ativa;Sim
ACADEMIA PME EDUCACAO E CONSULTORIA EM NEGOCIOS LTDA.;26.965.884/0001-02;SP;Ativa;Sim
ACADIA INVESTIMENTOS S.A;47.406.541/0001-88;SP;Ativa;Sim
ACAMPAMENTO NOSSO RECANTO LTDA;62.438.841/0001-32;MG;Ativa;Sim
ACAO COMUNICATIVA PROCESSAMENTO DE INFORMACAO LTDA;01.251.147/0001-17;DF;Ativa;Sim
ACARTOCENTER CONSTRUCAO A SECO LTDA;05.383.915/0001-47;RS;Ativa;Sim
ACASEL ACABAMENTO E SEGURANCA LTDA;83.191.221/0001-11;SC;Ativa;Sim
ACBZ IMPORTACAO E COMERCIO LTDA.;09.509.531/0001-89;SP;Ativa;Sim
ACCENTURE DO BRASIL LTDA;96.534.094/0001-58;SP;Ativa;Sim
ACCENTURE SONG COMUNICACAO BRASIL LTDA;11.174.561/0001-23;SP;Ativa;Sim
ACCENTURE SONG COMUNICACAO BRASIL LTDA;11.174.561/0001-23;SP;Ativa;Sim
ACCERT TRANSPORTES E LOGISTICA LTDA;05.222.092/0001-78;BA;Ativa;Sim
ACCERT TRANSPORTES E LOGISTICA LTDA;05.222.092/0001-78;BA;Ativa;Sim
ACCESSTAGE TECNOLOGIA S.A.;04.398.168/0001-58;SP;Ativa;Sim
ACCESSTAGE TECNOLOGIA S.A.;04.398.168/0001-58;SP;Ativa;Sim
ACCIAIO CONSTRUCOES METALICAS LTDA;74.283.011/0001-62;SP;Ativa;Sim
ACCIONA CONSTRUCCION S.A;03.503.152/0001-03;SP;Ativa;Sim
ACCO BRANDS BRASIL LTDA.;44.990.901/0001-43;SP;Ativa;Sim
ACCORD FARMACEUTICA LTDA;64.171.697/0001-46;SP;Ativa;Sim
ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;06.105.362/0001-23;RJ;Ativa;Sim
ACCURATE SOFTWARE LTDA;67.170.936/0001-31;SP;Ativa;Sim
ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA;61.854.147/0001-33;SP;Ativa;Sim
ACEF S/A.;46.722.831/0001-78;SP;Ativa;Sim
ACHE LABORATORIOS FARMACEUTICOS SA;60.659.463/0029-92;SP;Ativa;Sim
ACIL TEXTIL LTDA;20.383.561/0001-24;SC;Ativa;Sim
ACIPAR LUBRIFICANTES LTDA;75.106.955/0001-27;PR;Ativa;Sim
ACO CEARENSE COMERCIAL LTDA;07.557.333/0001-65;CE;Ativa;Sim
ACO CEARENSE INDUSTRIAL LTDA;00.990.842/0001-38;CE;Ativa;Sim
ACO INOXIDAVEL ARTEX LTDA;33.150.053/0001-48;SP;Ativa;Sim
ACO VERDE DO BRASIL S/A;07.636.657/0001-99;MA;Ativa;Sim
ACOFER INDUSTRIA E COMERCIO LTDA;03.989.217/0001-64;MT;Ativa;Sim
ACOFORJA INDUSTRIA DE FORJADOS SA;16.716.417/0001-95;MG;Ativa;Sim
ACOKORTE INDUSTRIA METALURGICA E COMERCIO LTDA;66.081.894/0001-08;SP;Ativa;Sim
ACOME DO BRASIL LTDA.;02.554.135/0001-24;PR;Ativa;Sim
ACOMIX LTDA;06.018.430/0001-17;MG;Ativa;Sim
ACONOBRE COMERCIO E INDUSTRIA LTDA;08.111.941/0001-04;MG;Ativa;Sim
ACOPECAS INDUSTRIA DE PECAS DE ACO LTDA;75.883.975/0001-04;SC;Ativa;Sim
ACOPERFIL INDUSTRIA E COMERCIO DE ACO LTDA;03.254.555/0001-58;SC;Ativa;Sim
ACOPLANO COMERCIO DE ACOS LTDA;93.412.674/0001-84;RS;Ativa;Sim
ACOPLANO COMERCIO DE ACOS LTDA;93.412.674/0001-84;RS;Ativa;Sim
ACOS BOHLER-UDDEHOLM DO BRASIL LTDA.;61.075.131/0001-22;SP;Ativa;Sim
ACOS F SACCHELLI LIMITADA;61.471.173/0001-82;SP;Ativa;Sim
ACOS FAVORIT DISTRIBUIDORA LTDA;92.216.209/0001-05;RS;Ativa;Sim
ACOS GERAIS COMERCIAL LTDA;10.607.764/0001-01;SP;Ativa;Sim
ACOS GOLDONI LTDA;57.958.175/0001-23;SP;Ativa;Sim
ACOS MACOM INDUSTRIA E COMERCIO LTDA;43.553.668/0001-79;SP;Ativa;Sim
ACOS SAO CARLOS COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;67.544.353/0001-23;SP;Ativa;Sim
ACOS VIC LTDA;60.608.866/0001-01;SP;Ativa;Sim
ACOSUL COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;02.940.947/0001-08;SC;Ativa;Sim
ACOTEL INDUSTRIA E COMERCIO LTDA;22.719.686/0001-08;RJ;Ativa;Sim
ACP MEDIC PRODUTOS HOSPITALARES LTDA ME;06.003.997/0001-10;BA;Ativa;Sim
ACP MEDIC PRODUTOS HOSPITALARES LTDA ME;06.003.997/0002-09;BA;Ativa;Sim
ACQUA COMERCIO DE COSMETICOS LTDA;06.554.954/0001-22;SC;Ativa;Sim
ACQUA SUITES MACEIO LTDA;18.025.659/0001-68;AL;Ativa;Sim
ACQUA TEXTIL LTDA;34.665.835/0001-82;SC;Ativa;Sim
ACRE COMERCIO E ADMINISTRACAO LTDA;63.605.653/0001-14;AC;Ativa;Sim
ACRE COMERCIO E ADMINISTRACAO LTDA;63.605.653/0001-14;AC;Ativa;Sim
ACREAVES ALIMENTOS LTDA;06.368.718/0001-11;AC;Ativa;Sim
ACREDIESEL COMERCIAL DE VEICULOS LTDA;04.043.949/0001-20;AC;Ativa;Sim
ACREDITAR ONCOLOGIA S.A;03.989.821/0001-90;DF;Ativa;Sim
ACRILEX TINTAS ESPECIAIS S A;60.779.014/0001-87;SP;Ativa;Sim
ACRIPEL DISTRIBUIDORA PERNAMBUCO LTDA;24.455.677/0001-82;PE;Ativa;Sim
ACRIPEL DISTRIBUIDORA PERNAMBUCO LTDA - ALAGOAS;24.455.677/0002-63;AL;Ativa;Sim
